PART_NO,SUM_PLACE_COUNT
1013653,4708
1013770,9417
1013868,4708
1014034,18773
1014035,4692
1014040,42266
1014043,140880
1014044,84528
1014047,18784
1014049,4694
1014055,4692
1014057,9384
1014065,4709
1014071,4697
1014072,23480
1014082,4708
1014085,4710
1014127,9417
1014130,8004
1014156,4708
1014235,4692
1014237,4692
1014238,4694
1014239,9384
1014240,14090
1014242,18772
1014243,18772
1014244,4692
1014253,4692
1014255,4692
1014256,14090
1014258,14126
1014260,4029
1014271,56312
1014272,4692
1014276,41333
1014285,9416
1014301,4708
1014439,51622
1014441,14081
1014442,14083
1014503,4708
1014529,4692
1014591,28178
1014786,9416
1014812,18770
1014823,4692
1015105,4692
1015193,9384
1015215,14125
1015217,4708
1015614,4708
1016175,18784
1016253,4708
1016286,4708
1016369,4708
1016402,4692
1016837,4708
1017116,14083
1018263,4708
1018606,4708
1019751,18765
1019953,14088
1021685,23540
1021805,75328
1021831,4709
1021852,9416
1021931,4708
1021997,4694
1022792,9416
1023271,4708
1023476,4708
1023491,75330
1023494,23468
1023903,4692
1025469,4709
1025684,18772
1025849,42230
1025850,32842
1025943,4708
1026403,4709
1026406,5356
1026661,4708
1026782,9416
1027841,46962
1030159,4708
1030835,4708
1030872,23480
1031397,18771
1031944,14125
1033214,32958
1033625,4698
1037888,14090
1038704,23540
1039376,4708
1039713,9416
1039967,4693
1039984,18832
1040009,112623
1040800,4692
1041272,9418
1041321,4692
1041778,187872
1042267,4698
1042753,4710
1042921,10287
1042922,14079
1047323,4692
1047907,4708
1048305,9416
1049310,4708
1049594,4708
1052317,46925
1052672,28176
1053972,9416
1056927,1412
1057351,9417
1058199,4692
