1014134,2,2080
1014040,2,2080
1017914,1,1040
1014130,1,1040
1014069,1,1040
1024264,2,2080
1014280,12,12480
1018802,2,2080
1014043,5,5200
1026725,2,2080
1014071,3,3120
1014182,1,1040
1015341,1,1040
1014044,7,7280
1014246,1,1040
1014133,10,10400
1029444,1,1040
1014047,1,1040
1014031,1,1040
1013867,1,1040
1018507,1,1040
1014277,5,5200
1013868,1,1040
1014281,2,2080
1023494,2,2080
1014060,2,2080
1025850,1,1040
1017069,2,2080
1014042,1,1040
1014035,1,1040
1014084,1,1040
1018294,1,1040
1014274,1,1040
1014271,3,3120
1025849,2,2080
1014529,4,4160
1017042,3,3120
1018221,2,2080
